"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 19 04:22:29 GMT 2022","Sat Mar 19 04:22:33 GMT 2022","4211","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenUpdatingUser","verifySchemaOfResponseWhenUpdatingUser",""
"passed","Sat Mar 19 04:22:25 GMT 2022","Sat Mar 19 04:22:29 GMT 2022","3934","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenGettingUser","verifySchemaOfResponseWhenGettingUser",""
"passed","Sat Mar 19 04:22:40 GMT 2022","Sat Mar 19 04:22:40 GMT 2022","2","Command line suite","Command line test","tests.contacts.ContactsTest","tests.contacts.ContactsTest","testTest","testTest",""
"passed","Sat Mar 19 04:22:20 GMT 2022","Sat Mar 19 04:22:23 GMT 2022","3430","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyLoginResponseSchema","verifyLoginResponseSchema",""
"passed","Sat Mar 19 04:22:23 GMT 2022","Sat Mar 19 04:22:25 GMT 2022","2267","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenCreatingValidUser","verifySchemaOfResponseWhenCreatingValidUser",""
"passed","Sat Mar 19 04:22:33 GMT 2022","Sat Mar 19 04:22:36 GMT 2022","2683","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser",""
"failed","Sat Mar 19 04:22:16 GMT 2022","Sat Mar 19 04:22:20 GMT 2022","3708","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyDeleteUserResponseStatusCode","verifyDeleteUserResponseStatusCode",""
"passed","Sat Mar 19 04:22:36 GMT 2022","Sat Mar 19 04:22:40 GMT 2022","3384","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser",""
