"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 04 01:24:51 GMT 2022","Mon Apr 04 01:24:53 GMT 2022","1886","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser",""
"passed","Mon Apr 04 01:24:50 GMT 2022","Mon Apr 04 01:24:51 GMT 2022","1247","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser",""
"passed","Mon Apr 04 01:24:40 GMT 2022","Mon Apr 04 01:24:43 GMT 2022","3000","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyLoginResponseSchema","verifyLoginResponseSchema",""
"passed","Mon Apr 04 01:24:53 GMT 2022","Mon Apr 04 01:24:53 GMT 2022","1","Command line suite","Command line test","tests.contacts.ContactsTest","tests.contacts.ContactsTest","testTest","testTest",""
"passed","Mon Apr 04 01:24:45 GMT 2022","Mon Apr 04 01:24:47 GMT 2022","2545","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenGettingUser","verifySchemaOfResponseWhenGettingUser",""
"passed","Mon Apr 04 01:24:43 GMT 2022","Mon Apr 04 01:24:45 GMT 2022","1566","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenCreatingValidUser","verifySchemaOfResponseWhenCreatingValidUser",""
"passed","Mon Apr 04 01:24:47 GMT 2022","Mon Apr 04 01:24:50 GMT 2022","2580","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenUpdatingUser","verifySchemaOfResponseWhenUpdatingUser",""
"failed","Mon Apr 04 01:24:33 GMT 2022","Mon Apr 04 01:24:40 GMT 2022","7016","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyDeleteUserResponseStatusCode","verifyDeleteUserResponseStatusCode",""
