"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 17 13:01:53 GMT 2022","Sun Apr 17 13:01:56 GMT 2022","2593","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyLoginResponseSchema","verifyLoginResponseSchema",""
"passed","Sun Apr 17 13:02:02 GMT 2022","Sun Apr 17 13:02:03 GMT 2022","1221","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenICreateUser",""
"passed","Sun Apr 17 13:01:57 GMT 2022","Sun Apr 17 13:02:00 GMT 2022","2238","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenGettingUser","verifySchemaOfResponseWhenGettingUser",""
"passed","Sun Apr 17 13:02:00 GMT 2022","Sun Apr 17 13:02:02 GMT 2022","2513","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenUpdatingUser","verifySchemaOfResponseWhenUpdatingUser",""
"passed","Sun Apr 17 13:01:51 GMT 2022","Sun Apr 17 13:01:51 GMT 2022","5","Command line suite","Command line test","tests.contacts.ContactsTest","tests.contacts.ContactsTest","testTest","testTest",""
"passed","Sun Apr 17 13:02:03 GMT 2022","Sun Apr 17 13:02:05 GMT 2022","1600","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser","verifyThatTheUserDataIsReturnedSuccessfullyAndNotEmptyWhenIGetUser",""
"failed","Sun Apr 17 13:01:51 GMT 2022","Sun Apr 17 13:01:53 GMT 2022","2718","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifyDeleteUserResponseStatusCode","verifyDeleteUserResponseStatusCode",""
"passed","Sun Apr 17 13:01:56 GMT 2022","Sun Apr 17 13:01:57 GMT 2022","1510","Command line suite","Command line test","tests.users.UsersTest","tests.users.UsersTest","verifySchemaOfResponseWhenCreatingValidUser","verifySchemaOfResponseWhenCreatingValidUser",""
